Entity,Code,Year,Carbon monoxide (CO) emissions,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Organic carbon (OC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions
World,OWID_WRL,1970,480065470.0,80182880.0,124129580.0,105316650.0,8660430.0,3903085.5,33820896.0
World,OWID_WRL,1971,486772960.0,82780340.0,124511130.0,106946830.0,8772561.0,4023887.0,34603136.0
World,OWID_WRL,1972,498832960.0,86449784.0,127945190.0,110141300.0,8873063.0,4137189.8,35256620.0
World,OWID_WRL,1973,509735580.0,91486280.0,134238240.0,113647660.0,8985027.0,4269727.5,35979532.0
World,OWID_WRL,1974,504363140.0,90390110.0,132411550.0,112612520.0,9062640.0,4293698.0,36631144.0
World,OWID_WRL,1975,513556860.0,89880410.0,130736456.0,111493180.0,9257644.0,4393768.0,37569804.0
World,OWID_WRL,1976,526331360.0,93961840.0,136609250.0,115180856.0,9440394.0,4560931.5,38243844.0
World,OWID_WRL,1977,540423100.0,96783896.0,137497970.0,117662730.0,9634553.0,4715407.0,38979720.0
World,OWID_WRL,1978,557482100.0,99147870.0,138320690.0,119763230.0,9822070.0,4858219.0,39903056.0
World,OWID_WRL,1979,560816800.0,101656240.0,141003730.0,121919880.0,10030373.0,4944429.0,40788588.0
World,OWID_WRL,1980,553502700.0,100580060.0,140288030.0,119751290.0,10067140.0,4844996.0,41448570.0
World,OWID_WRL,1981,551087400.0,98605340.0,135794850.0,116955330.0,10134106.0,4778810.0,41941984.0
World,OWID_WRL,1982,553113340.0,96245320.0,132663144.0,115196870.0,10243799.0,4766940.0,42304744.0
World,OWID_WRL,1983,556647800.0,96134936.0,130619860.0,114445990.0,10378018.0,4826082.0,42950696.0
World,OWID_WRL,1984,565672700.0,98691630.0,131849480.0,115545976.0,10571656.0,4950319.0,43779380.0
World,OWID_WRL,1985,577940860.0,100142420.0,132363224.0,114989290.0,10700295.0,4992258.5,44354452.0
World,OWID_WRL,1986,582147200.0,102530770.0,131558056.0,116893590.0,10846713.0,5120963.5,45114264.0
World,OWID_WRL,1987,591236540.0,106120104.0,134189930.0,118697340.0,11089482.0,5235796.5,45766492.0
World,OWID_WRL,1988,600074500.0,109845520.0,135298300.0,121231550.0,11257423.0,5379225.0,46289436.0
World,OWID_WRL,1989,600791600.0,112365176.0,134940130.0,122433130.0,11425519.0,5463202.0,47032520.0
World,OWID_WRL,1990,594294800.0,112989816.0,135486910.0,123221700.0,11558079.0,5590198.5,47227252.0
World,OWID_WRL,1991,591485630.0,113508130.0,132928710.0,123388020.0,11691899.0,5615332.0,47290532.0
World,OWID_WRL,1992,585476860.0,113892470.0,128397470.0,123638670.0,11697415.0,5504124.5,47432924.0
World,OWID_WRL,1993,585717900.0,114889580.0,126380070.0,124413784.0,11643529.0,5555071.0,47685980.0
World,OWID_WRL,1994,575773760.0,114800024.0,123285240.0,123776660.0,11677189.0,5635904.5,48083390.0
World,OWID_WRL,1995,579283200.0,116372136.0,120811630.0,125207310.0,11872881.0,5830334.0,48298932.0
World,OWID_WRL,1996,567415230.0,117457920.0,117479736.0,124053544.0,11939882.0,5759763.0,48775780.0
World,OWID_WRL,1997,570551900.0,118230090.0,117210264.0,125149464.0,12092682.0,5821153.0,49253416.0
World,OWID_WRL,1998,562204300.0,117673250.0,113979830.0,124544910.0,11973640.0,5560450.0,49742330.0
World,OWID_WRL,1999,551991600.0,116325576.0,108479180.0,123679544.0,12071815.0,5461918.5,50129296.0
World,OWID_WRL,2000,554078200.0,118712640.0,107800536.0,124600360.0,11992801.0,5328567.5,50585396.0
World,OWID_WRL,2001,546182500.0,118295380.0,108487280.0,124303730.0,12000896.0,5375764.0,50686120.0
World,OWID_WRL,2002,530964930.0,118512860.0,107364660.0,124297416.0,12158292.0,5423700.0,51131772.0
World,OWID_WRL,2003,536821570.0,121921500.0,111728190.0,125826370.0,12409411.0,5551651.5,51763450.0
World,OWID_WRL,2004,543509760.0,126374130.0,117096240.0,128919944.0,12672495.0,5748066.0,52623812.0
World,OWID_WRL,2005,547655360.0,129247750.0,122964616.0,131000870.0,12893154.0,5879113.5,53432108.0
World,OWID_WRL,2006,547772740.0,132362136.0,123619224.0,131518296.0,13100058.0,5965983.5,54446524.0
World,OWID_WRL,2007,544460700.0,135931500.0,122383120.0,131620540.0,13204969.0,6034392.5,55686696.0
World,OWID_WRL,2008,533566180.0,136163920.0,118846400.0,131752850.0,13388799.0,6124767.5,55986532.0
World,OWID_WRL,2009,526585060.0,128155310.0,109399976.0,129875016.0,13470208.0,6106062.0,56151356.0
World,OWID_WRL,2010,526508700.0,127496340.0,105690750.0,132721220.0,13680806.0,6186523.5,57054176.0
World,OWID_WRL,2011,522520450.0,132310000.0,109038296.0,134290400.0,13558322.0,6139220.5,57966384.0
World,OWID_WRL,2012,520254370.0,131314104.0,105987690.0,136929300.0,13500804.0,6224275.0,58832116.0
World,OWID_WRL,2013,518939070.0,129140320.0,101403170.0,136970980.0,13547134.0,6134634.5,59389748.0
World,OWID_WRL,2014,504707460.0,126719810.0,96665200.0,137922700.0,13490909.0,6009164.5,59722860.0
World,OWID_WRL,2015,492395040.0,125125190.0,91236510.0,137329920.0,13338598.0,5837880.0,60085684.0
World,OWID_WRL,2016,474641060.0,123683470.0,87832770.0,137546260.0,13317361.0,5717074.5,61054676.0
World,OWID_WRL,2017,468139500.0,123489610.0,84854620.0,138751940.0,13370068.0,5725901.0,61386068.0
World,OWID_WRL,2018,456801060.0,122251030.0,83258850.0,138128140.0,13239110.0,5632701.0,62020964.0
World,OWID_WRL,2019,444817340.0,119787070.0,81435150.0,136776340.0,13105488.0,5505723.0,62540650.0
World,OWID_WRL,2020,429021280.0,109981600.0,69563336.0,134215970.0,12962218.0,5305236.0,62931108.0
World,OWID_WRL,2021,429536740.0,113420800.0,72359976.0,134515180.0,13053429.0,5361625.5,63475340.0
World,OWID_WRL,2022,424731040.0,113397130.0,73466960.0,133977910.0,12977442.0,5333697.0,64004636.0
