Entity,Code,Year,Carbon monoxide (CO) emissions,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Organic carbon (OC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Carbon monoxide (CO) emissions (%),Nitrogen oxide (NOx) (%),Sulphur dioxide (SO₂) emissions (%),Non-methane volatile organic compounds (NMVOC) emissions (%),Organic carbon (OC) emissions (%),Black carbon (BC) emissions (%),Ammonia (NH₃) emissions (%)
World,OWID_WRL,1970,480065470.0,80182880.0,124129580.0,105316650.0,8660430.0,3903085.5,33820896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,OWID_WRL,1971,486772960.0,82780340.0,124511130.0,106946830.0,8772561.0,4023887.0,34603136.0,1.3972031773082951,3.2394196865964404,0.30738040038482367,1.547884403843077,1.2947509534745967,3.095025717474034,2.3128896407711963
World,OWID_WRL,1972,498832960.0,86449784.0,127945190.0,110141300.0,8873063.0,4137189.8,35256620.0,3.9093605295127767,7.815763165403887,3.073892620920815,4.581089504840877,2.4552245096375125,5.997929074318249,4.245079728224823
World,OWID_WRL,1973,509735580.0,91486280.0,134238240.0,113647660.0,8985027.0,4269727.5,35979532.0,6.180429931775764,14.097024202672689,8.143635062649853,7.910439612349994,3.7480471523931262,9.393645104622998,6.382551189655058
World,OWID_WRL,1974,504363140.0,90390110.0,132411550.0,112612520.0,9062640.0,4293698.0,36631144.0,5.0613242397958755,12.729936864328145,6.672035787118589,6.927556089184379,4.644226672347678,10.007787428689431,8.309206237469285
World,OWID_WRL,1975,513556860.0,89880410.0,130736456.0,111493180.0,9257644.0,4393768.0,37569804.0,6.97642136186133,12.094265010186714,5.322563727356525,5.864723194290741,6.895893160039397,12.571656449749819,11.084591017340285
World,OWID_WRL,1976,526331360.0,93961840.0,136609250.0,115180856.0,9440394.0,4560931.5,38243844.0,9.63741258041325,17.18441642405461,10.053743837689614,9.366236013014086,9.006065518686716,16.854511642135435,13.077560097757315
World,OWID_WRL,1977,540423100.0,96783896.0,137497970.0,117662730.0,9634553.0,4715407.0,38979720.0,12.572791373643266,20.703940791350973,10.769705335343922,11.722818756578377,11.247974985075798,20.812290686432565,15.253362891391168
World,OWID_WRL,1978,557482100.0,99147870.0,138320690.0,119763230.0,9822070.0,4858219.0,39903056.0,16.126265027976288,23.652168642483286,11.43249658945112,13.717280221123632,13.41319079999492,24.471242046837048,17.98343840447042
World,OWID_WRL,1979,560816800.0,101656240.0,141003730.0,121919880.0,10030373.0,4944429.0,40788588.0,16.820899449402184,26.780479823124338,13.593979775006087,15.765057092112217,15.818417792188146,26.680007394150092,20.601736867054026
World,OWID_WRL,1980,553502700.0,100580060.0,140288030.0,119751290.0,10067140.0,4844996.0,41448570.0,15.297336423717372,25.438322993636547,13.017404876420269,13.705942982424906,16.242957913175214,24.1324587944589,22.55313992864057
